id_ano;alunomas;id_educacao;id_artes;id_ciencias_sociais_comercio_e_direito;id_ciencias_matematica_e_informatica;id_engenharia_industrias_transformadoras_e_construcao;id_agricultura;id_saude_e_protecao_social;id_servicos
1;162524;9255;10576;52116;15601;56283;4941;7196;6556
2;166661;9443;11588;50876;15781;58834;4844;8252;7043
3;170488;8871;12014;50166;16149;61502;4507;9522;7757
4;173971;7966;12229;50770;16112;63877;4134;10719;8164
5;173567;6573;12461;49900;15848;64566;3809;11943;8467
6;168884;5259;12436;48116;14941;63326;3525;12755;8526
7;164520;4672;12462;46920;13637;61586;3098;13446;8699
8;168821;3759;12856;48925;13916;63026;3052;14156;9131
9;175177;3163;13884;50714;14741;64436;3568;14445;10226
10;174000;2886;13951;50120;14733;63319;3218;14372;11401
11;179151;3577;15125;51249;15240;64829;3152;14155;11824
12;184627;4066;16247;53168;15494;65691;3270;14381;12310
13;181515;4366;16233;51006;15152;65060;3210;14021;12341
14;173745;3777;15455;48545;15086;62365;3033;13368;12026
15;168252;3329;14916;47540;14850;59035;3002;13362;12082
16;162323;2911;14613;46400;14151;56163;2976;12953;12023
17;166117;2755;15025;46723;15557;56987;3392;12872;12644
18;167919;2820;15399;46999;16849;56541;3435;12927;12859
19;172235;2777;15899;48266;18140;57029;3483;13303;13213
20;176660;2734;16149;49964;18692;58058;3635;13589;13747
21;182178;2906;16493;51894;19593;59221;3759;14030;14188
22;191144;3173;16811;55526;20457;61429;3818;14413;15409
23;199470;3560;17524;57726;21935;63573;4017;15306;15753
24;204672;3995;17911;59208;23775;63879;4152;15946;15717
